Name,Area,Rating,Price,Cuisine
Seagull - Taj Fisherman's Cove Resort & Spa,Taj Fisherman's Cove Resort & Spa Kanchipuram District,4,"₹3,000 for two","Healthy Food, Continental, Burger, South Indian, Pizza, North Indian, Chinese, Asian"
Cibo,Ashok Nagar,4,₹800 for two,"Continental, North Indian, Steak, Italian"
Knock Out Rusi,Taramani,3.8,"₹1,200 for two","Biryani, South Indian"
Orange Wok,Velachery,4.4,₹600 for two,"Chinese, Malaysian, Thai, Sichuan, Asian"
Welcome Hotel,Purasavakkam,4.6,₹300 for two,"South Indian, Desserts, Beverages"
Burger King,Perambur,3.9,₹300 for two,"Burger, Fast Food, Beverages"
Paati Veedu,Paati Veedu T.Nagar,4.1,"₹1,500 for two","South Indian, Desserts, Beverages"
Ente Keralam,Alwarpet,4.3,₹800 for two,"Kerala, Desserts, Beverages"
Momo Nation Cafe,Anna Nagar East,4,₹400 for two,"Momos, Chinese, Asian, Continental, Sichuan"
Message In A Bottle,Egmore,4.1,"₹1,500 for two","Bar Food, North Indian, Chinese, Continental, Beverages"
Mex It Up,Nungambakkam,3.8,₹400 for two,"Mexican, Desserts, Beverages"
Mathsya,Adyar,3.9,₹800 for two,"South Indian, North Indian, Chinese, Fast Food, Desserts, Beverages, Shake"
The Square - Novotel  OMR,Novotel OMR,4.2,"₹2,500 for two","Continental, Italian, Asian, Mexican, North Indian, South Indian, Desserts"
Cholan Mess,Ramapuram,2.5,₹800 for two,"South Indian, Chinese, Biryani, Beverages"
Erode Amman Mess,Anna Nagar East,3.1,₹600 for two,"Chettinad, South Indian, Kerala, Chinese"
Nair Mess,Triplicane,4.5,₹200 for two,South Indian
Pause Bar & Kitchen,OMR Food Street Kandanchavadi,4.3,"₹1,200 for two","Italian, Continental, Chinese, North Indian, Sichuan"
Garrison Restro,The King's Hotel Egmore,3,"₹2,500 for two","Kebab, Continental, Italian, Sushi, Fast Food, Mexican, Desserts, Beverages"
In Between,Adyar,2.8,₹500 for two,"Cafe, Burger"
Zhouyu - From The House Of Pumpkin Tales,Abhiramapuram,3.9,"₹1,200 for two","Chinese, Asian, Cantonese, Sichuan"
Hungsters,Kilpauk,3.6,₹300 for two,"Chinese, Momos, Sichuan"
Nolita,Besant Nagar,3.7,₹800 for two,"Italian, Desserts, Pizza, Fast Food"
The Indie Frost,West Mambalam,3.6,₹500 for two,"Beverages, Sandwich, Fast Food, Shake, Pasta"
Gameistry,Egmore,3.8,₹400 for two,"Sandwich, Pizza, Fast Food, Beverages, Desserts, Continental, Shake, Sichuan"
Convo@C20,Adyar,4.2,"₹1,000 for two","Cafe, American, Continental, Italian, Asian, Beverages, Pizza, Desserts"
Tipsy Crow,Velachery,3,"₹1,000 for two","Chinese, North Indian, Fast Food, Seafood"
Lina's Brickoven Newyork Pizzeria,T. Nagar,3.7,₹500 for two,"Pizza, Fast Food"
PH Cafe - Psychedelic Hues,Egmore,4.2,₹600 for two,"Cafe, Salad, Italian, Continental, Beverages"
Khalids Biriyani,Ambattur,3.9,₹600 for two,"Biryani, North Indian, Chinese, Sichuan"
Level Up,Ampa Skywalk Mall Aminijikarai,4.1,"₹2,200 for two","Continental, Italian, Chinese, North Indian, Seafood, Desserts"
Vasco's - Hilton ,Hilton Guindy,4.4,"₹3,400 for two","North Indian, Continental, Asian"
Food Adda,Kilpauk,3.7,₹500 for two,"Fast Food, Sandwich, Pizza, Burger, Beverages"
Kurtosh Bistro,Besant Nagar,4,₹600 for two,"Italian, Mexican, Beverages, Bakery"
The Eatery - Four Points By Sheraton  OMR,Old Mahabalipuram Road (OMR),4,"₹1,000 for two","North Indian, South Indian, Chinese, Fast Food, Sichuan"
The Tiger House,Besant Nagar,3.8,"₹1,000 for two","Fast Food, Beverages"
Kraft Retail Dining,Egatoor,3.9,₹700 for two,"Arabian, Mughlai, Chinese, Fast Food, Beverages, Desserts"
Tinga,Teynampet,3.7,₹550 for two,"Mexican, Beverages"
Thanjai Veeraswamy,T. Nagar,4,₹800 for two,"Chettinad, South Indian, Chinese, Beverages"
Prems Graama Bhojanam,Adyar,4.9,₹400 for two,South Indian
Colony - The Raintree,The Raintree Alwarpet,4,"₹2,000 for two","Italian, North Indian, South Indian, Continental, Fast Food, Beverages, Desserts"
VB Signature,Nungambakkam,4.4,"₹1,000 for two","North Indian, South Indian, Chinese, Asian, Fast Food, Desserts, Beverages"
The Alcove,Besant Nagar,4.1,₹800 for two,"Continental, Italian, Mexican, Beverages, Shake"
Flower Drum,Adyar,4.4,"₹1,000 for two","Chinese, Thai, Sichuan"
La Cabana,Hotel Park Elanza Nungambakkam,3.9,"₹1,500 for two","Italian, North Indian, Continental, Chinese, Desserts, Beverages, Sichuan"
North View Kitchen,St. Thomas Mount,4,₹700 for two,"Fast Food, Chinese, North Indian, Mughlai, Chettinad, Desserts, Beverages, Shake"
Singh Chulha,Potheri,3.7,₹550 for two,"North Indian, Sichuan, Biryani, Chinese"
R&G - Green Park Hotel,Green Park Hotel Vadapalani,4.3,"₹2,000 for two","North Indian, BBQ, Chinese"
Kailash Parbat,Chetpet,3.6,₹600 for two,"North Indian, Street Food, Sichuan"
Waters Edge Cafe - Radisson BLU Temple Bay,Radisson Blu Temple Bay Mamallapuram,4.2,"₹3,000 for two","Fast Food, South Indian, North Indian, Mediterranean, Italian, Seafood"
